Feature,Importance
arrival_date_month,16.484011410105563
lead_time,11.214606817694488
agent,11.149683469958326
hotel,8.85179361066813
reserved_room_type,8.292135155949204
market_segment,6.2225692916391715
meal,5.480875781276085
total_stay,5.218602937953305
deposit_type,4.805200314384873
booking_changes,4.107845634293012
adults,3.805282880768015
arrival_season,3.4842679427169783
country,1.9665388754063113
children,1.7856898705297324
customer_type,1.7136992570427565
distribution_channel,1.26719697980172
stays_in_week_nights,0.997329265982416
stays_in_weekend_nights,0.8338409274084012
total_of_special_requests,0.7926611127501758
required_car_parking_spaces,0.5494427931847757
previous_bookings_not_canceled,0.5200464462596699
previous_cancellations,0.31089943957954896
babies,0.14577978464767063
