Feature,SHAP_Importance
arrival_date_month,11.800089186421197
agent,7.805092938881792
reserved_room_type,7.708444098548775
hotel,7.133134968397786
lead_time,5.046025299222024
meal,4.888629256443409
market_segment,4.198005223510005
deposit_type,2.7152850636780146
adults,2.550760456877597
arrival_season,2.012850193083329
children,1.8242389372070147
total_stay,1.5408812285798312
country,1.232272391286383
customer_type,1.0435246447544568
booking_changes,0.6989460003489981
distribution_channel,0.6201091932393343
stays_in_weekend_nights,0.5836571958287631
required_car_parking_spaces,0.5283505095279711
total_of_special_requests,0.5079602204877103
stays_in_week_nights,0.4782563743613495
previous_cancellations,0.2841366188146249
previous_bookings_not_canceled,0.1016666561747346
babies,0.03017356873420877
