feature,mean_abs_shap
country,1.2830455
deposit_type_Non Refund,0.9536241
agent,0.8362773
total_of_special_requests,0.6281018
lead_time,0.55750245
required_car_parking_spaces,0.4400015
arrival_date_year,0.33994317
previous_cancellations,0.3221847
customer_type_Transient-Party,0.2873153
deposit_type_No Deposit,0.27902767
adr,0.187307
arrival_date_week_number,0.181172
customer_type_Transient,0.17374878
adr_per_person,0.16568889
market_segment_Offline TA/TO,0.15202984
market_segment_Online TA,0.14358969
arrival_date_day_of_month,0.13439728
market_segment_Groups,0.1015588
previous_bookings_not_canceled,0.097495675
distribution_channel_TA/TO,0.093514405
total_stay,0.09171919
adults,0.08472278
stays_in_week_nights,0.061339576
stays_in_weekend_nights,0.05726339
hotel_City Hotel,0.051486056
meal_BB,0.039271332
market_segment_Direct,0.034312382
meal_SC,0.03355408
days_in_waiting_list,0.030274592
market_segment_Corporate,0.028792555
children,0.027458625
is_repeated_guest,0.02653236
arrival_date_month_July,0.02652555
arrival_season_Fall,0.024830233
arrival_date_month_August,0.024235724
meal_HB,0.02274812
customer_type_Contract,0.022435712
arrival_season_Spring,0.022049805
distribution_channel_Corporate,0.020973437
arrival_date_month_September,0.019540451
arrival_season_Summer,0.018618809
arrival_season_Winter,0.01799673
arrival_date_month_October,0.0149689885
meal_Undefined,0.013373215
arrival_date_month_May,0.013156067
distribution_channel_Direct,0.012957241
arrival_date_month_March,0.011428573
arrival_date_month_June,0.011326531
arrival_date_month_April,0.010357131
arrival_date_month_February,0.007161365
arrival_date_month_November,0.005749198
hotel_Resort Hotel,0.005673424
meal_FB,0.0049473583
arrival_date_month_December,0.00419279
babies,0.0027945496
market_segment_Complementary,0.0026493536
market_segment_Aviation,0.0024063962
arrival_date_month_January,0.002342459
distribution_channel_GDS,0.001985964
deposit_type_Refundable,0.0007126219
customer_type_Group,0.00032386137
market_segment_Undefined,0.0
distribution_channel_Undefined,0.0
